COMPANHIA,ANO,MES,ORIGEM,DESTINO,TARIFA,TEMP_MEDIA
AZUL,2023,1,Manaus,Florianópolis,883.16,25.52
AZUL,2023,1,Manaus,Fortaleza,911.19,25.11
AZUL,2023,1,Manaus,Goiânia,1246.73,25.27
AZUL,2023,1,Manaus,João Pessoa,1236.94,25.37
AZUL,2023,1,Manaus,Macapá,865.9,25.54
AZUL,2023,1,Manaus,Maceió,1471.79,25.46
AZUL,2023,1,Manaus,Natal,922.34,25.79
AZUL,2023,1,Manaus,Porto Alegre,860.2,25.44
AZUL,2023,1,Manaus,Porto Velho,868.48,25.55
AZUL,2023,1,Manaus,Recife,1255.41,25.24
AZUL,2023,1,Manaus,Rio de Janeiro,985.28,25.61
AZUL,2023,1,Manaus,Salvador,1071.89,25.53
AZUL,2023,1,Manaus,São Luís,726.36,25.52
AZUL,2023,1,Manaus,São Paulo,823.33,25.55
AZUL,2023,1,Manaus,Teresina,970.61,25.52
AZUL,2023,1,Manaus,Vitória,943.08,25.34
AZUL,2023,1,Natal,Belo Horizonte,989.01,25.4
AZUL,2023,1,Natal,Belém,764.69,25.36
AZUL,2023,1,Natal,Boa Vista,1828.9,25.51
AZUL,2023,1,Natal,Brasília,908.7,25.45
AZUL,2023,1,Natal,Campo Grande,955.78,25.3
AZUL,2023,1,Natal,Cuiabá,1036.92,25.47
AZUL,2023,1,Natal,Curitiba,911.75,25.47
AZUL,2023,1,Natal,Florianópolis,1008.76,25.52
AZUL,2023,1,Natal,Fortaleza,820.21,25.11
AZUL,2023,1,Natal,Goiânia,907.39,25.27
AZUL,2023,1,Natal,Macapá,1190.78,25.54
AZUL,2023,1,Natal,Maceió,1105.36,25.46
AZUL,2023,1,Natal,Manaus,991.76,25.3
AZUL,2023,1,Natal,Porto Alegre,918.55,25.44
AZUL,2023,1,Natal,Porto Velho,1328.07,25.55
AZUL,2023,1,Natal,Recife,526.68,25.24
AZUL,2023,1,Natal,Rio de Janeiro,1025.77,25.61
AZUL,2023,1,Natal,Salvador,884.45,25.53
AZUL,2023,1,Natal,São Luís,1020.96,25.52
AZUL,2023,1,Natal,São Paulo,884.89,25.55
AZUL,2023,1,Natal,Teresina,918.81,25.52
AZUL,2023,1,Natal,Vitória,1339.4,25.34
AZUL,2023,1,Palmas,Belo Horizonte,516.02,25.4
AZUL,2023,1,Palmas,Belém,1437.55,25.36
AZUL,2023,1,Palmas,Brasília,908.22,25.45
AZUL,2023,1,Palmas,Campo Grande,804.4,25.3
AZUL,2023,1,Palmas,Cuiabá,1101.83,25.47
AZUL,2023,1,Palmas,Curitiba,579.45,25.47
AZUL,2023,1,Palmas,Florianópolis,713.13,25.52
AZUL,2023,1,Palmas,Fortaleza,798.83,25.11
AZUL,2023,1,Palmas,Goiânia,722.49,25.27
AZUL,2023,1,Palmas,João Pessoa,848.6,25.37
AZUL,2023,1,Palmas,Maceió,1013.73,25.46
AZUL,2023,1,Palmas,Manaus,1669.23,25.3
AZUL,2023,1,Palmas,Natal,764.4,25.79
AZUL,2023,1,Palmas,Porto Alegre,568.45,25.44
AZUL,2023,1,Palmas,Porto Velho,1280.01,25.55
AZUL,2023,1,Palmas,Recife,825.42,25.24
AZUL,2023,1,Palmas,Rio de Janeiro,508.26,25.61
AZUL,2023,1,Palmas,Salvador,753.04,25.53
AZUL,2023,1,Palmas,São Luís,917.97,25.52
